,subject_id,arm_index,best_model,log_spiral_mean_score,poly_spiral_1_mean_score,poly_spiral_2_mean_score,poly_spiral_3_mean_score,poly_spiral_4_mean_score,poly_spiral_5_mean_score,poly_spiral_6_mean_score,poly_spiral_7_mean_score,poly_spiral_8_mean_score
71,21096811,1,poly_spiral_2,-0.011848367469748128,-0.041513240039542265,0.13373311745273966,0.0628888306497267,0.022923746788039767,0.012891574536531725,-0.0167487462968455,-0.025647838032737236,-0.028283555230834062
72,21096794,0,poly_spiral_7,0.6252988160166485,0.5542655484220734,0.6430681212204976,0.6363695954673367,0.6367105979191019,0.6400461164587996,0.6347283344387863,0.6501263409653792,0.6465953154989613
73,21096794,1,poly_spiral_1,0.6234229428887156,0.6316986876667604,0.6263443435729836,0.6159595255846381,0.6217694479248401,0.6283892060578492,0.6299763741742849,0.6279319814971014,0.6282961621039896
74,21096972,0,poly_spiral_2,0.39674109802253216,0.4256058510436161,0.42790882239108047,0.41306132255612205,0.41047848598025527,0.38814826159894805,0.3905138513151575,0.3914841325274653,0.39182274987425564
75,21096972,1,poly_spiral_7,0.25435921419977225,0.3334095020755183,0.3652678274091978,0.3509842380848216,0.3848707419280577,0.4157815353548001,0.4134733727348733,0.42186648387145087,0.42151097610253363
76,21096972,2,poly_spiral_3,0.9186969925556897,0.8402488438088348,0.9109690155712058,0.9406388168679007,0.9404018332498737,0.9401908190261463,0.9394051047601312,0.9391423878064317,0.9390863180265144
77,21096966,0,poly_spiral_3,0.7905467898951708,0.7727277348633275,0.7940381696465844,0.7998761150731986,0.7994890952783639,0.7944754682997779,0.7940581190290731,0.7932322482922967,0.792896650935598
78,21096966,1,poly_spiral_6,0.867688045441397,0.8341243437541876,0.8699855133254182,0.8781059802523735,0.9042186177406396,0.9167527057439415,0.9167855938925138,0.9085713483866424,0.9063297871226128
79,21686523,0,poly_spiral_6,0.2669859769577406,0.24543341412595507,0.24168269290013347,0.26476602410093875,0.253527381877756,0.2622159853326072,0.26815387713175665,0.26408613935292274,0.26352809481617345
80,21686523,1,poly_spiral_7,-0.06470322149339047,0.025256862315746403,0.013330157036837724,0.04846683504175418,0.07659066602648856,0.07424796336048423,0.0767399962855607,0.09474499865101804,0.08948795252455666
81,21686593,0,poly_spiral_1,0.8668171364703531,0.8751863279100714,0.8693002382909821,0.8672243852464024,0.8640659500257829,0.862332627847303,0.8623458776201953,0.8593054705915593,0.8599223950284699
82,21686593,1,poly_spiral_8,0.8905797926969001,0.8519298233104811,0.8876930587158156,0.8903809014055399,0.8870932809040811,0.8930977950452679,0.892676545689533,0.8939874075248273,0.8944929019873931
83,21686593,2,poly_spiral_5,0.8587657375910851,0.8108068332249045,0.8692391515488579,0.868278645272739,0.8707011480374519,0.8775326063472187,0.8751096414077839,0.8735306644839086,0.8672360795064752
84,21686593,3,poly_spiral_3,0.798672784133446,0.8125172657326024,0.7885129168580294,0.8196152340271854,0.8035849334238675,0.804769093197008,0.8023092886743795,0.8024608943401778,0.802297976040848
85,21686587,0,poly_spiral_4,0.5721090289711264,0.6212018742834354,0.6338287025086631,0.6226741630573635,0.7138227398790646,0.7084549910004243,0.7086161334247818,0.6917320292202728,0.6789759468955618
86,21686587,1,poly_spiral_1,-0.2785910866231225,-0.18452099283161316,-0.2918946773521579,-0.752722891039432,-0.7414864868562008,-0.7054896744742168,-0.6942144041807747,-0.6519318069710499,-0.6547148603575866
87,21096915,0,poly_spiral_8,0.051657892651438254,0.10502138425708299,0.0079510342216496,0.155515191059375,0.18072282322106217,0.18278167169112888,0.23208034617321394,0.23358247298461246,0.23774445429682975
88,21096915,1,poly_spiral_1,0.6627886172148744,0.6668935832085096,0.5892093622208132,0.6589265656290125,0.6445628394579279,0.5993714572808748,0.6173707504652342,0.6044225061103438,0.606665525213246
89,21097016,0,poly_spiral_2,0.6290576377207234,0.5880110230221429,0.6338052215857749,0.6290056538328175,0.6292273362084475,0.6286577814332569,0.6280472501759582,0.629592168111868,0.6296295488417015
90,21097016,1,poly_spiral_4,0.8010959140092149,0.774703493739565,0.8113477069397195,0.8122156608362342,0.8152865751798076,0.814244953435605,0.8138652414302419,0.813618170638598,0.8134768014877768
